# Cassini Titan flyby list
# Source: https://www.sciencedirect.com/science/article/pii/S037015731500441X
# Paper: The Interaction between Saturn's Moons and their Plasma Environments
#        Author: Sven Simon
#        Year: 2015
#        Journal: Physics Reports, vol 602
#-------------------------------------------------------------------------------------
Flyby	SLT(h)	EventTime(UTC)	Alt.(km)	Long.(deg)	Lat.(deg)	Vx	Vy	Vz	V(km/s)	Description
209TI(T106)	23.6	2014 OCT 24 (297), 02:40:30	1013.0	321.6	37.3	-1.4	-4.5	3.5	5.8	outb, northb, inner fl.
210TI(T107)	23.5	2014 DEC 10 (344), 22:26:35	980.0	56.3	53.6	-1.3	-4.9	2.8	5.8	outb, northb, wake
211TI(T108)	23.4	2015 JAN 11 (011), 19:48:35	970.0	1.1	69.0	-1.6	-5.2	2.0	5.8	outb, northb, inner fl.
212TI(T109)	23.3	2015 FEB 12 (043), 17:08:04	1200.0	3.8	78.4	-1.6	-5.5	1.1	5.8	outb, northb, inner fl.
213TI(T110)	23.3	2015 MAR 16 (075), 14:29:49	2274.5	93.0	74.7	-1.6	-5.5	0.4	5.7	outb, northb, wake
215TI(T111)	6.1	2015 MAY 07 (127), 22:50:24	2721.5	68.4	-0.9	-2.1	5.3	-0.0	5.7	inb, southb, wake
218TI(T112)	0.7	2015 JUL 07 (188), 08:09:50	10953.1	292.6	0.8	-2.2	-5.2	0.0	5.6	outb, northb, upstr.
222TI(T113)	6.5	2015 SEP 28 (271), 21:37:13	1035.6	63.4	-0.8	-2.6	5.2	-0.0	5.8	inb, southb, wake
225TI(T114)	2.4	2015 NOV 13 (317), 05:46:34	11919.7	121.7	-14.4	-2.9	-4.6	0.0	5.5	outb, northb, wake
230TI(T115)	2.4	2016 JAN 16 (016), 02:20:52	3817.4	299.7	-8.4	-2.8	-4.9	0.1	5.7	outb, northb, upstr.
231TI(T116)	2.4	2016 FEB 01 (032), 01:01:25	1400.0	175.1	-83.6	-2.7	-5.1	0.6	5.8	outb, northb, far side
232TI(T117)	2.4	2016 FEB 16 (047), 23:52:03	1018.0	284.0	-38.7	-2.3	-5.2	1.3	5.9	outb, northb, upstr.
234TI(T118)	2.2	2016 APR 04 (095), 19:47:59	990.0	244.5	-63.0	-1.8	-5.2	2.0	5.9	outb, northb, upstr.
235TI(T119)	2.2	2016 MAY 06 (127), 17:00:45	971.0	177.5	-59.9	-1.6	-4.9	2.8	5.9	outb, northb, far side
236TI(T120)	2.1	2016 JUN 07 (159), 14:12:37	975.0	145.9	-36.6	-1.8	-4.3	3.5	5.9	outb, northb, far side
238TI(T121)	2.0	2016 JUL 25 (207), 10:04:39	976.0	128.4	-7.0	-2.4	-3.7	3.8	5.9	outb, northb, wake
239TI(T122)	1.9	2016 AUG 10 (223), 08:37:14	1599.4	125.3	9.3	-3.0	-3.2	3.8	5.8	outb, northb, wake
243TI(T123)	1.8	2016 SEP 27 (271), 04:23:01	1736.5	125.2	21.0	-3.6	-2.8	3.6	5.8	outb, northb, wake
248TI(T124)	1.7	2016 NOV 14 (319), 00:01:44	1581.6	121.2	36.2	-4.2	-2.4	3.2	5.8	outb, northb, wake
250TI(T125)	1.6	2016 NOV 29 (334), 22:20:19	3223.1	127.0	41.4	-4.5	-2.1	2.7	5.7	outb, northb, wake
270TI(T126)	1.0	2017 APR 22 (112), 06:19:45	979.0	93.4	66.4	-5.0	-2.0	2.2	5.8	outb, northb, wake
